subcounty,population,under5,sam.prev,mam.prev,sam.total,sam.in,sam.rec,mam.total,mam.in,mam.rec
West Pokot,175178,0.192,0.01,0.033,20,4,2,77,7,10
Central Pokot,100554,0.192,0.01,0.033,38,6,10,108,16,16
South Pokot,164034,0.192,0.01,0.033,21,5,1,85,5,7
North Pokot,122108,0.192,0.01,0.033,19,5,5,63,8,22
